customer_id,customer_name,country_id,cust_type_id
236,Stanley Ward,570,4
237,Brian Davis,804,1
238,James Contreras,388,1
239,Willie Bennett,48,1
240,Jordan West,86,4
241,James Owens,376,1
242,Mitchell Diaz,663,4
243,Wendy Perry,4,1
244,John Gross,232,1
245,Aaron Hopkins,304,4
246,Brandon Andrews,585,3
247,Adam Fox,212,2
248,James Serrano,208,3
249,Mrs. Elizabeth Bates,376,3
250,Cindy Berry,84,4
251,Meghan Jimenez,616,1
252,Jessica Flores,508,1
253,Christopher Martinez,732,1
254,James Morrison,682,3
255,Rebecca Moore,535,4
256,David Mckenzie,752,2
257,Robert Jones,24,4
258,David Martin,148,1
259,Jacob Juarez,40,2
260,Makayla Oneal,662,1
261,Bonnie Edwards,616,1
262,Jennifer Howard,428,3
263,Taylor Morris,140,2
264,David Harris,826,1
265,David White,784,4
266,Barry Cobb DDS,591,2
267,Elizabeth Garcia,44,3
268,Margaret Robinson,840,3
269,Melissa Prince,24,4
270,Renee Keith,158,1
271,Robert Johnson,690,1
272,Sharon Meyer,254,3
273,Sean Harris,660,2
274,Michael Gould,508,3
275,Jody Collins,320,3
276,Brian Gould,795,1
277,Darrell Young,478,3
278,Leroy Ferguson,32,2
279,Deborah Jordan,776,1
280,Jose Knox Jr.,300,2
281,Eric Elliott,384,3
282,Daniel Sosa,104,1
283,Terry Willis,826,2
284,Elijah Jackson,694,2
285,Sarah Wilson,752,2
286,Andrew Dunn,56,2
287,Ryan Durham,92,3
288,Kimberly Henderson,740,1
289,Susan Perry,584,4
290,Shannon Villegas,694,1
291,Charles King,100,3
292,Norma Miller,158,2
293,Michael Hall,524,3
294,Brandon Robinson,894,3
295,Joshua Hodges,584,3
296,Vanessa Powell,462,2
297,Belinda Dunn,744,1
298,Shelby Kennedy,784,4
299,Angela Evans,508,4
300,Melanie Page,512,3
301,Christina Rogers,540,2
302,Daniel Choi,752,3
303,Brittany Yates,762,4
304,Kyle Bailey,196,4
305,Lisa Lee,659,3
306,Robert Peters,132,3
307,Mary Peters,96,3
308,Sarah Brooks,760,3
309,Tara Martinez,40,2
310,Edward Horn,100,4
311,Kim Hansen,70,2
312,Michael Pope,398,3
313,Daniel Wilson,581,3
314,Ana Moore,558,4
315,Gary Johnson,850,4
316,Adriana Mathis,36,3
317,Cole Davis,250,3
318,Carol Wells,191,1
319,Jonathan Watson,162,1
320,Erica Miller,478,3
321,Mark Jackson,292,3
322,Mrs. Melissa Cruz,654,4
323,Jose Thompson,418,3
324,Eric Ramirez,466,1
325,James Jones,752,2
326,Natasha Hall,804,2
327,Jonathan Thompson,188,2
328,William Smith MD,710,4
329,Julia Douglas,704,2
330,Casey Riley,184,3
331,Jordan Scott,372,3
332,Jennifer Smith,663,2
333,Brooke Johnson,654,2
334,Adam Hernandez,266,1
335,Dana Harmon,51,3
336,Angela Waters,112,1
337,Sharon Davis,854,1
338,Brittany Snyder,740,1
339,Sydney Collins,64,4
340,Ariana Kidd,585,2
341,Don Parker,732,4
342,Corey Howard,584,1
343,Willie Vasquez,674,2
344,George Nelson,10,1
345,Michaela Kelly,466,4
346,Kimberly Crawford,178,2
347,Lindsay Arellano,508,2
348,Steven Evans,894,3
349,George Lopez II,231,2
350,Rebekah Mason,312,3
351,Cristian Diaz,434,4
352,Michael Porter,234,2
353,Kelly Patterson,212,1
354,Andrea Woods,833,2
355,Mark Murray,710,2
356,Christina Delgado,84,3
357,Angela Barrera,500,3
358,Melissa Hill,140,4
359,Joe Walters,876,3
360,Dillon Mendez,233,3
361,Gary Acevedo,831,4
362,Carol Ortiz,480,4
363,Crystal Morgan,788,2
364,Kevin Taylor,120,3
365,Mrs. Linda Morales,32,1
366,Tyrone Walters,630,1
367,Marcus Potter,520,1
368,Kelly Green,144,1
369,Michael Johnson,598,2
370,William Peterson,8,1
371,Margaret Thompson,51,3
372,Lisa Bradley,312,1
373,John Deleon,74,3
374,Jamie Vaughn,580,2
375,Luis Green,492,3
376,Yvonne Parker,840,4
377,Emma Ford,454,4
378,Philip Newman,231,3
379,Kim Sanchez,275,4
380,Ebony Bond,642,3
381,Heather Rhodes,474,1
382,Steven Williams,376,2
383,Katelyn Sanchez,408,2
384,Natasha Simmons,520,1
385,Bill Davis,124,2
386,Michael Sawyer,462,2
387,Michael Miller,184,2
388,Dana Morales,270,4
389,John Johnson,388,2
390,Ashley Torres,706,3
391,Christopher Burns,92,3
392,Craig Maxwell,262,2
393,John Pierce,170,1
394,Darlene Cox,348,1
395,Jacqueline Booth,218,3
396,Brenda Curry,690,4
397,Jennifer Williams,534,2
398,Ryan Schwartz,652,2
399,Kayla Garcia,666,2
400,Paula Dixon,634,2
401,Betty Sullivan,462,1
402,Christine Patrick,86,2
403,Kari Joseph,12,2
404,Sarah Bates,84,4
405,Kenneth Clark,76,1
406,Randy Hines,360,4
407,Daniel Alexander,652,1
408,Shannon Allen,112,2
409,Ms. Lisa Rush,454,1
410,Anna Spencer,262,4
411,Christopher Martinez,894,2
412,Amanda Blevins,8,2
413,Amanda Hall,524,2
414,Tiffany Smith,417,3
415,Robert Reed,659,4
416,Jon Becker,652,3
417,William Knight,674,3
418,Alexandra Brown,158,3
419,Mary Owens,266,3
420,Sabrina Peters,288,1
421,Amanda Patton,887,1
422,Teresa Zimmerman,798,4
423,Jessica Hernandez,583,3
424,Joseph Cooper,44,4
425,Cindy Arias,620,3
426,Julia Clark,203,4
427,Laura Hodge,492,2
428,John Holloway,100,2
429,Kenneth Baker,780,1
430,Nicole Bryant,795,4
431,Christopher Johnson,262,3
432,Ryan Shah IV,807,3
433,Michael Eaton,56,2
434,Brian Leach,732,4
435,John Mullen,756,2
436,Candice Anderson,178,1
437,Wendy Cherry,124,3
438,Stephanie Williams,499,1
439,Dr. Joseph Clay MD,646,2
440,Todd Anderson,706,1
441,Rachel Mccall,144,1
442,Maria Manning,796,3
443,Laura Jones,894,1
444,Jessica Smith,174,3
445,Jason Baker,368,3
446,Rebecca Anderson,702,4
447,Adam Kemp,608,4
448,Cathy Gonzalez,388,3
449,Sarah Cross,64,2
450,Mark Haas,239,4
451,Pamela Medina,760,2
452,Shelia Beck,76,2
453,Joshua Ramos,232,2
454,Kimberly Bradshaw,214,1
455,Jeffrey West,678,1
456,Joseph Reilly,254,3
457,David White,484,3
458,Christina Holder,208,3
459,Melissa Weiss,548,3
460,Kara Bennett,242,3
461,James Hardy,756,1
462,Chad Brown,4,3
463,Matthew Miller,68,4
464,Allison Jones,184,3
465,Michael Bowen,28,3
466,Marcus Williams,20,2
467,Allen Arnold,591,1
468,Adrian Christian,348,3
469,Barry Schultz,850,3
470,Cheryl Cook,540,1
471,Michael Jones,716,3
472,Ruben Anderson,296,2
473,Jacob Dalton,320,2
474,Jessica Matthews,68,2
475,Kevin Hernandez,392,1
476,Dennis Armstrong,728,1
477,Mark Baker,132,4
478,Joy Black MD,554,2
479,Debra Boyer,12,1
480,Dawn Walker,86,3
481,Jonathan Haley,316,3
482,Brian Burke,662,4
483,Kathryn Nguyen,275,1
484,Lisa Roberts,788,2
485,Allison Reynolds,586,4
486,Scott Brown,344,3
487,William Thompson,90,3
488,Ashley Smith,716,1
489,John Garner,638,1
490,Joshua Barnett,876,4
491,Kenneth Simpson,652,2
492,Kimberly Wall,798,1
493,Wendy Rhodes,706,3
494,Chelsea Bridges,414,1
495,Kelly Williams,499,3
496,Megan Holder,250,1
497,Michelle West,705,4
498,Tony Roberts,234,1
499,James Williams,212,4
500,Sydney Molina,426,3
501,Jennifer Bell,90,2
502,Ricky Baird,854,3
503,Chad Thomas,732,2
504,Penny Riley,643,2
505,David Martin,702,2
506,Stacey Gutierrez,688,2
507,Melanie Moore,646,3
508,Brooke Greene,860,1
509,Edgar Ewing,626,2
510,Kara Chavez,51,1
511,Vanessa Jackson,84,3
512,Brandon Martin,275,1
513,Michael Gilbert,570,4
514,Michael Ellis,64,3
515,Sean Hicks,710,2
516,Linda Lane,474,1
517,Bryan Jackson,292,3
518,David Edwards,270,2
519,Daniel Hill,583,4
520,Adrian Hughes,442,2
521,Sharon Good,554,3
522,Amy Davis,248,4
523,Danielle Snow,212,2
524,Richard Lawson,858,4
525,Darryl Clark,508,3
526,Michael Martinez,20,2
527,Christian Palmer,686,1
528,Ashley Pitts,328,3
529,Nancy Smith,792,1
530,Mario Gomez,276,3
531,Craig Bailey,222,1
532,Miss Kelly Ayala,792,1
533,Patricia Fletcher,192,3
534,Jamie Stewart,400,3
535,Henry Castro,474,3
536,Hannah Baker,498,2
537,Tyler Hall,288,2
538,Sherry Schultz,600,4
539,Kayla Sullivan,174,3
540,Angela Proctor,398,2
541,Johnny Parks,534,3
542,Melanie Simpson,804,2
543,Katherine Bates,112,1
544,Karen Rogers,591,1
545,Tiffany Ewing,520,1
546,Anthony Haynes,56,2
547,Michael Mata,384,2
548,Donald Coleman,591,1
549,Olivia Olsen,496,1
550,Melissa Hernandez,222,1
551,John Boone,170,4
552,Kathy Miller,716,1
553,Benjamin Brown,192,1
554,Yvonne Reed,191,4
555,Jesse Lee,498,2
556,Scott Tran,258,2
557,Victor Jimenez,804,2
558,Philip Jackson,270,1
559,David Long,706,1
560,Ryan Stewart,166,3
561,Charlotte Greene,410,4
562,Bradley Simpson,600,3
563,Christina Kane,48,4
564,James Moore,474,3
565,Elizabeth Weaver,694,4
566,Roberto Newman,324,4
567,Michael Fisher,694,2
568,Nicole Tucker,446,2
569,Rachel James,732,2
570,Andre Young,388,2
571,Chad Mathis,296,1
572,Jessica Wallace,520,4
573,James Roberts,116,4
574,Jordan Mcdonald,40,1
575,Michael Johnson,156,2
576,Taylor Gordon,474,1
577,Richard Miller,887,4
578,Michael Ball,300,4
579,Whitney Knox,520,3
580,Kenneth Dalton,312,3
581,Rebecca Munoz,492,3
582,Matthew Williams,887,2
583,Nancy Palmer,70,4
584,Rebecca Alvarado,108,4
585,Nathaniel Cruz,232,2
586,Sergio Walker,438,1
587,Linda Garcia,678,1
588,Mike Garcia,646,2
589,Bridget Turner MD,540,2
590,William Hamilton,438,4
591,Travis Frost,729,4
592,Steven Sullivan,254,4
593,Sheila Rodriguez,795,4
594,Tyler Berg,674,4
595,Janet Phelps,192,2
596,Kristi Alvarez,208,2
597,Vickie Carlson,798,3
598,Thomas Cox,732,1
599,Michelle Castro,418,1
600,Calvin Butler,410,4
601,Matthew Harris,90,2
602,David Baker,400,4
603,Eric Lynch,238,2
604,Michael Zuniga,678,1
605,Jasmin Cantrell DDS,760,3
606,Alexander Peterson PhD,156,3
607,Sally Evans,585,4
608,Tyler Fernandez,384,4
609,Ann Miller,498,3
610,Ruben White,772,2
611,Christopher White,204,1
612,Eric Rivera,184,2
613,Bethany Cox,440,3
614,Timothy Miranda,608,4
615,Carl Webster,270,4
616,Ronald Wilson DDS,776,2
617,Gina Wilcox,51,3
618,David Gonzalez,634,2
619,Daniel Smith,388,2
620,Jacob Conner,704,1
621,Courtney Ellis,662,1
622,Judy Gillespie,178,1
623,Amy Williams,678,4
624,Emily Gonzales,784,2
625,Dr. Theodore Moran,352,2
626,April Khan,826,2
627,Madison Peters,831,1
628,Allison Archer,316,3
629,Elizabeth Brown,768,2
630,Joel Hall,670,1
631,Sara Guerrero,792,2
632,Danny Flores,784,1
633,Mary Marquez,266,2
634,Barry Conley,268,1
635,David Thompson,312,3
636,David Campbell,28,2
637,April Blake,578,3
638,John Meyer,520,2
639,Daniel Barrett,663,2
640,Cheryl Smith,744,1
641,Samantha Mclaughlin,336,1
642,Sarah Rogers,232,2
643,Angela Sanders,100,2
644,Brandon Phillips,462,2
645,Samuel Harvey,242,2
646,Kimberly Kim,292,3
647,Christine Rubio,716,1
648,Hannah Johnson,772,2
649,Dakota Santos,535,1
650,Tracy Marshall,8,3
651,Rebecca Hale,400,3
652,Darlene Miller,840,3
653,John Robinson,174,4
654,Kendra Torres,212,1
655,Aaron Ward,191,2
656,David Cortez,175,1
657,Jenny Nelson,466,1
658,Allison Clay,584,4
659,Rebecca Williams,12,1
660,Steven Wiggins,442,3
661,Mark Wallace,68,1
662,Whitney Joyce,498,3
663,Sherri Porter,540,2
664,Jessica Wallace,356,3
665,Douglas Johnson,428,2
666,Linda Scott,246,3
667,Tara Cantu,748,1
668,Marie Alvarez,188,4
669,Leah Hamilton,612,3
670,Sherry Mills,704,3
671,Michael Cross,792,4
672,Brenda Nelson,454,3
673,Holly Wall,860,1
674,Alan Jimenez,686,2
675,Amanda Alvarado,16,4
676,Amy White,598,4
677,Caitlin Rodriguez,466,4
678,Duane Good,376,1
679,Ashley Horton,178,4
680,Samantha Townsend,762,4
681,Morgan Shelton,328,2
682,Sara Vasquez,608,4
683,Kyle Carlson,422,1
684,Katie Patel,136,3
685,Alicia Johnson,756,1
686,Cynthia Olson,724,3
687,Carl Reid,643,1
688,David Butler,414,4
689,Maria Yoder,580,3
690,Lauren Monroe,470,1
691,Kenneth Wilson,124,2
692,Kathy Macdonald,296,2
693,Joshua Duke,96,2
694,Kari Smith,426,2
695,Kayla Hodges,832,2
696,Jessica Burton,531,2
697,Lisa Calderon,670,3
698,Samantha Lamb,340,3
699,Julie Ferguson,248,3
700,Sydney Turner,800,1
701,Kevin Roberts,831,2
702,Rita Lewis,158,3
703,Tony Adams,474,3
704,Anthony Hicks,48,4
705,Frederick Bennett,462,3
706,Charles Johnson,196,1
707,Dustin Henderson,140,4
708,Dr. Jordan Sutton II,608,3
709,Katherine Gordon,780,1
710,Tammy Miller,260,1
711,Anthony Lopez,248,2
712,Alexis Stephens,762,3
713,Jennifer Lopez,52,3
714,Kelly Anderson,682,4
715,Gloria Hernandez,218,1
716,Kaitlyn Mcmahon,258,2
717,Susan Brown,792,1
718,Sarah Mason,535,4
719,Joshua Rice,156,4
720,Michael Lee,422,3
721,Austin Lee,10,4
722,Jacob Guzman,308,4
723,Mrs. Jasmine Anderson,332,1
724,Calvin Williams,512,1
725,Joseph Simpson,72,3
726,Ian Mosley,158,1
727,Michael Mayo,140,4
728,Antonio Smith,392,2
729,Regina Robinson,850,1
730,Jessica Huerta,144,2
731,Elizabeth Beck,894,2
732,George Mcclure,242,1
733,Sara Ray,583,1
734,Christopher Johnson,478,2
735,Renee Hunt,92,1
736,John Bryan Jr.,170,3
737,William Stewart,659,3
738,Frank Miller,630,2
739,Nicholas Wright,156,1
740,Catherine Odom,372,4
741,Kimberly Garner,574,4
742,Susan Yoder,703,4
743,Megan Moore,352,3
744,Paul Shaffer,4,3
745,Alex Taylor,204,1
746,Peter Charles,780,4
747,Daniel Watkins,450,1
748,John Norris,570,2
749,Benjamin Jones,214,2
750,Alyssa Morales,540,4
751,Laura Newman,776,4
752,Amy Grimes DDS,340,4
753,Sherry Taylor,894,4
754,Caroline Brown,44,4
755,Emily Flynn,643,2
756,Natalie Mann DVM,148,2
757,Natalie Campbell,430,1
758,Kelsey Davis,340,2
759,Stacy Keller DDS,744,1
760,Elijah Anderson,442,2
761,Samantha Nelson,584,4
762,Dominic Simon,300,4
763,Beth Flores,581,2
764,Brittany Miller,196,1
765,Veronica Jordan,388,1
766,Terri Allen,554,4
767,Anthony Campbell,316,2
768,Nancy Simpson,152,1
769,Michael Morris,238,2
770,Jennifer Smith,634,3
771,Kerri Lin,320,2
772,Donald Smith,308,1
773,Jennifer Smith,136,1
774,Toni Murray,400,4
775,Amy Ray,788,1
776,Linda Landry,360,4
777,Erin Parsons,266,2
778,Amanda Walker,762,4
779,Sarah Gomez,248,3
780,Angela Ferguson,784,3
781,Brandon Powell,566,4
782,Michael Mcclure,148,2
783,Cole Reynolds,744,3
784,Marilyn Stevenson,795,3
785,Edward Martin,86,4
786,Troy Reed,340,1
787,Jackie Newman,132,1
788,Michael Harding,807,2
789,Chad Bennett,600,4
790,Darlene Hernandez,248,3
791,Brian Anderson,260,1
792,Jason Wood,90,1
793,Jason Russell,585,3
794,Richard Greer,231,3
795,Steven Hill,784,1
796,Travis Morales,562,3
797,Joshua Oconnor,51,3
798,Stephen Hicks,140,2
799,Joanna Brooks,90,2
800,Tom Harrison,124,4
801,Monica Lewis,496,1
802,Jon Brown,64,3
803,James Hernandez,238,3
804,Linda Gibson,792,2
805,Alison Figueroa,4,1
806,Joseph Johnson,234,1
807,Jennifer Atkinson,16,4
808,Jose Hoffman,654,3
809,Nicholas Hodges,807,3
810,Katelyn Rangel,732,4
811,Danielle Cox,328,3
812,Michelle Ortiz,422,2
813,Brianna Garcia,752,3
814,Maria Lee,796,1
815,Amy Jackson,166,1
816,Shari Garcia,784,3
817,Melissa Perry,558,1
818,Robert Gonzalez IV,51,1
819,Douglas Peters,703,1
820,Casey Hernandez,60,2
821,Anthony Hogan,348,3
822,Dylan Moore,174,3
823,Monica Oneal,24,2
824,Rhonda Adkins,744,2
825,Amanda Vasquez,442,2
826,Erik Miller,12,1
827,Amber Stephens,850,1
828,Sonia Riddle,140,1
829,Christopher Thompson,586,3
830,Jacob Cook,12,4
831,Sarah Houston,10,1
832,Donald Reed,238,1
833,James Meyers,798,4
834,Francisco Byrd,756,3
835,Diana Keller,136,1
836,Charles Miller,450,3
837,Jeanne Brown,784,3
838,Phillip Diaz,10,2
839,Ashley Carrillo,430,2
840,David Lynch,686,2
841,Terri Lam,583,4
842,Jessica Sanchez,254,2
843,Nathaniel Holden,554,1
844,Jamie Williams,454,1
845,Jackie Landry,826,3
846,Kevin Price,840,1
847,Michael Anderson,666,4
848,Robert Bell,232,3
849,Rachel Mason,184,3
850,Martin Garza,36,3
851,Jennifer Lawrence,780,1
852,Erin Roberts,226,1
853,Timothy Larson,410,1
854,Alfred Fuller,348,3
855,Stephen Mccann,239,1
856,Phyllis Anderson,384,4
857,Pamela Schultz,417,4
858,Patricia Hernandez,222,1
859,Jennifer James,600,1
860,Nicole Nguyen,90,3
861,Scott Mcguire,533,3
862,Sheena Barber,660,1
863,Curtis Gibbs,659,4
864,Michael Cross,470,2
865,Kyle Pollard,136,2
866,Stephanie Rose,328,4
867,William Castillo,100,4
868,Mark Yu,262,2
869,Alison Casey,336,1
870,Kayla Ross,16,3
871,Wendy Lopez,222,1
872,Zachary Garza,384,3
873,Lorraine Frederick,184,1
874,Natalie Jimenez,208,2
875,Kent Johnson,384,1
876,Cassandra Trujillo,534,3
877,Mark Bryant,204,1
878,William Jackson,222,4
879,Natasha Garza,266,1
880,Caitlin Brown,434,3
881,Carla Zavala,440,3
882,Molly Horton,882,1
883,Elizabeth Henderson DVM,304,4
884,Danielle Hansen,520,1
885,Brian Marshall,458,2
886,Dr. Christine Cain,276,1
887,Deanna Scott,643,3
888,Felicia Johnson,20,4
889,Lisa Nichols,438,2
890,Kelly Collins,48,3
891,Laura Smith,795,3
892,Brittany Andrews,60,1
893,Pamela Newman,308,1
894,Haley Hill,90,3
895,Richard Carter,48,2
896,Ryan Cobb,831,3
897,Jeffrey Smith,408,1
898,Derek Murray,344,1
899,Benjamin Lawson,504,2
900,Barry Stokes,184,4
901,Douglas Martinez,430,3
902,Kendra Proctor,10,4
903,Samuel Taylor,266,1
904,Mark Walter,428,3
905,Rachel Mccall,440,3
906,Jacob Porter,583,3
907,Emma Dickerson,458,3
908,Thomas Gibbs,688,1
909,Martin Oconnor,643,1
910,Daniel Sutton,703,3
911,Cody Scott,136,1
912,Jonathan Hall,191,4
913,Leonard Willis,642,1
914,Dr. Jacob Weaver,548,2
915,Robert Fitzgerald,417,4
916,Tiffany Glass,296,4
917,Anthony Blackwell,36,1
918,James Dixon,832,4
919,Alexander Jackson,8,4
920,Jessica Kennedy,776,2
921,Alison Watson,626,1
922,Dana Garcia,170,3
923,Diana Schmidt,470,4
924,Howard Ross,136,4
925,Mr. John Allen,702,4
926,Robert Ortiz MD,344,2
927,Mary Mills,226,2
928,Karen Porter,222,4
929,Darren Moore,834,4
930,James Carter,850,1
931,Sheila Lambert,498,4
932,Amanda Jensen,660,3
933,Todd Lucas,540,4
934,Thomas Taylor,204,1
935,Tony Reese,598,2
936,Charles Evans,480,1
937,Gregory Morrison,796,2
938,Sara Johnson,752,3
939,Matthew Morgan,140,4
940,Christopher Hernandez,162,2
941,Jeremy Johnson,248,2
942,Jade Moran,100,2
943,Jacob Horn,643,3
944,Alison Schultz,332,1
945,Jillian Elliott,760,3
946,Darius Vang,500,1
947,Sean Shelton,535,2
948,Timothy Mclaughlin,372,2
949,David Watson,246,2
950,Helen Carey,586,2
951,Meagan Sims,70,1
952,Louis Smith Jr.,170,2
953,Amy Hansen,498,4
954,Amy Lopez,86,4
955,Rebecca Smith,52,4
956,Jacob Franklin,180,4
957,Caleb Cardenas,858,1
958,Diane Smith,450,4
959,Kimberly Vaughan,276,3
960,Cheryl Pearson,498,3
961,Timothy Hurst,688,2
962,Kelly Davis,772,2
963,Gabriel Harris,226,1
964,Maria Hill,480,3
965,Curtis Middleton,499,3
966,Seth Williams,426,4
967,Tanya Burns,740,3
968,Kristen Harrell,352,4
969,Autumn Travis,499,4
970,Claire Howard,204,4
971,Mr. Chase Watson,642,1
972,Bryan Reed,702,4
973,Jill Young,591,1
974,Shannon Simon,818,4
975,Laura Davis,652,3
